Taxa,P Group,FDR Group,P adjusted Group,Female - CR_Baseline mean,Male - CR_Baseline mean,Female - Tac_Baseline mean,Male - Tac_Baseline mean,Female - Env_Baseline mean,Male - Env_Baseline mean,Female - Jax_Baseline mean,Male - Jax_Baseline mean,Male - CR_Chow mean,Female - CR_Chow mean,Female - Tac_Chow mean,Male - Tac_Chow mean,Female - Env_Chow mean,Male - Env_Chow mean,Female - JAX_Chow mean,Male - JAX_Chow mean
Thermomyces,0.000000013,0.000001,0.000001,0.057,0.55,1.04,1.84,1.26,0.96,2.53,2.7,0.76,0.043,1.36,1.62,0,0.037,0.027,0
Wallemia,0.00000016,0.0000063,0.000012,0.57,1.09,1.93,3.96,1.47,1.31,1.41,3.13,0.94,0.043,0.29,0,0,0.42,0.027,0
Aspergillus,0.0000021,0.000055,0.00016,2.76,3.32,4.12,6.06,4.26,6.28,4.34,5.51,4.64,4.49,1.94,2.62,3.57,1.23,0.98,2.33
Pseudogymnoascus,0.000076,0.0015,0.0058,0.4,0.34,0.68,0.3,0.76,0.78,1.09,0.81,0,0,0.057,0,0,0,0,0
Penicillium,0.0035,0.053,0.26,1.22,2.92,2.34,3.92,3.43,3.19,4.74,4.54,4.07,1.31,2.7,4.8,2.72,2.32,3.63,3.39
Saccharomyces,0.004,0.053,0.3,4.71,4.02,3.11,1.54,3.75,2.34,2.16,0.27,3.32,3.04,3.98,2.45,2.66,3.52,2.87,4.07
Unclassified,0.013,0.13,0.95,4.47,3.68,3.69,1.39,1.94,3.27,3.12,1.82,1.6,4.71,4.23,2.84,2.94,5.71,2.98,4.1
Fusarium,0.014,0.13,1,1.62,2.07,0.77,0.45,2.28,1.38,1.44,0.8,0.68,2.31,2.52,3.04,1.07,1.62,1.21,0.88
unidentified,0.017,0.13,1,1.44,1.44,2.53,0.7,1.99,1.9,1.24,0.38,2.77,1.56,1.99,1.78,3.77,2.54,1.23,2.9
Talaromyces,0.017,0.13,1,1.6,3.22,2.1,1.89,2.97,1.53,1.55,1.29,1.26,0.61,0.99,0.067,0.15,3.06,4.24,0.32
Cladosporium,0.027,0.19,1,3.24,3.47,2.15,1.52,2.39,2.33,1.51,0.94,2.25,1.78,1.28,3.86,1.59,2.42,0.82,3.39
Sarocladium,0.03,0.2,1,1.32,1.57,1.57,1.35,2.49,1.51,2.07,3.54,0.94,3.06,1.01,1.14,0.86,1.91,2.43,2.49
Alternaria,0.043,0.26,1,1.74,1.09,0.57,0.34,0.6,0.38,0.39,0.027,0.24,0,0.46,1.11,0.57,0.63,0,0.42
Toxicocladosporium,0.12,0.68,1,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
Trichoderma,0.18,0.95,1,0.87,1.04,1.15,0.54,0.66,0.9,1.08,0.48,1.2,0,0,0,0.33,1.96,0,0.44
Filobasidium,0.2,0.99,1,1.33,1.08,0.84,0.42,1,0.61,0.29,0,0.26,0,0.04,1.37,0.55,0,0.16,0.49
Phoma,0.25,1,1,0.27,1.62,0.037,0,0.34,0.067,0,0.02,0,0,0.04,0.34,0.04,0.23,0,0
Candida,0.54,1,1,0.87,0.86,0.63,0.08,0.36,1.22,1.1,0.62,0.045,0.14,1,0.067,0.75,0.38,0.093,0.07
Leucosporidium,0.56,1,1,0.02,0,1.59,0.03,0.02,0.04,0.017,0.027,0,0,0.04,0,0,0.29,0,0
Sporobolomyces,0.76,1,1,0.59,0.81,0.96,0.41,1.36,0.12,0.25,0.02,0.26,0.62,0.04,0.69,0.56,0.27,0,0
Hanseniaspora,0.79,1,1,0,0,0.74,0,0.13,0,0,0,1.92,0,0,0.037,0,0,0,0
Mortierella,0.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52
Leptosphaeria,0.81,1,1,0.98,0.45,0.17,0.37,0.21,0.073,0.083,0.02,1.25,0,0.25,1.33,0,0.77,0,0.99
Meripilus,0.96,1,1,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0
Xerochrysium,0.99,1,1,0.057,0.4,0.16,0.8,0.02,0.43,0.48,0.72,0.44,0.043,0,0.067,0.04,0.037,0,0
Tritirachium,1,1,1,0,0.07,0.22,0,0,0.06,0.17,0,0,0.057,0.04,0,0,0,0,0
Trichothecium,1,1,1,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
Steccherinum,1,1,1,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0
Spiromastix,1,1,1,0,0,0,0.18,0,0.3,0.077,0,0,0,0,0,0,0,0,0
Simplicillium,1,1,1,0,0.17,0,0,0,0,0.087,0,0,0,0,0,0,0,0,0
Setophoma,1,1,1,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0
Scytalidium,1,1,1,0,0,0,0,0.15,0,0,0.14,0,0,0,0,0,0,0,0
Sclerotinia,1,1,1,0,0,0,0,0,0.093,0,0,0,0,0,0,0,0,0.027,0
Schwanniomyces,1,1,1,0.38,0.26,0.31,0.44,0.12,0.17,0.64,0,0.74,0,0,0.81,0,0,0,0
Sagenomella,1,1,1,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0
Rigidoporus,1,1,1,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0
Rhodotorula,1,1,1,0,0.15,0.51,0,0.26,0,0.017,0.04,0.025,0,0.04,0.82,0.94,0,0,0
Rhizopus,1,1,1,0.15,0,0,0.26,0.23,0.33,0.06,0.17,0,0,0,0,0,0,0,0.05
Rasamsonia,1,1,1,0,0,0.16,0,0.047,0,0.093,0.48,0,0,0,0,0,0,0,0
Pyrenophora,1,1,1,0,0,0,0,0,0.087,0,0,0,0.12,0,0,0,0,0,0
Plectosphaerella,1,1,1,0.25,0.063,0.097,0,0.02,0.42,0,0,0,0,0,0.48,0,0.41,0,0.79
Phlebia,1,1,1,0,0,0,0.03,0,0,0,0.26,0,0,0,0,0,0,0,0
Phialophora,1,1,1,0,0,0,0,0,0,0.093,0,0.88,0,0,0,0,0,0,0
Phialemoniopsis,1,1,1,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perenniporia,1,1,1,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0
Oidiodendron,1,1,1,0,0,0.087,0,0,0.087,0.017,0.06,0,0,0,0.43,0,0,0,0.3
Nigrospora,1,1,1,0.07,0.45,0.19,0,0,0.3,0.14,0.23,0.31,0,0,0.41,0.55,0.31,0.027,0
Neocamarosporium,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0
Mycosphaerella,1,1,1,0.043,0,0,0,0,0.087,0.12,0.18,0,0,0,0,0,0,0,0
Mucor,1,1,1,0.027,0.07,0.08,0,0.5,0.27,0.21,0.043,0,0,0,0,0,0,0,0
Millerozyma,1,1,1,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0
Microascus,1,1,1,0,0.06,0,0,0,0,0.037,0,0,0,0,0.82,0,0,0,0.16
Metarhizium,1,1,1,0.067,0,0,0.25,0.13,0,0,0,0,0,0,0.23,0,0,0,0
Lichtheimia,1,1,1,0.12,0.13,0,0,0,0,0.06,0.033,0.16,0,0,0,0,0,0,0
Kazachstania,1,1,1,0.14,0.2,0.12,0.17,0.15,0.14,0.12,0.11,0.08,0.2,0.89,0.14,0.17,0.25,0.027,0.16
Junghuhnia,1,1,1,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0
Harzia,1,1,1,0.05,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
Hannaella,1,1,1,0.22,0.12,0.66,0,0.32,0.053,0,0,0,0,0,0,1.14,0,0,0
Geosmithia,1,1,1,0,0,0.03,0,0.027,0.033,0.03,0.17,0.17,0,0,0,0,0,0,0
Geomyces,1,1,1,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epicoccum,1,1,1,0.053,0.67,0.053,0.21,0.063,0,0.22,0,0,0,0,0.1,0,0,0,0
Dioszegia,1,1,1,0.093,0.31,0,0,0.027,0.033,0,0,0,0,0,0,0,0,0,0
Diaporthe,1,1,1,0.25,0.34,0.07,0,0.15,0.36,0.073,0,0.025,0,0,0,0.61,0.12,0,0
Debaryomyces,1,1,1,0.12,0.42,0.34,0,0.29,0.06,0.4,0,0.025,0,0,0.38,0.37,0,0,0.51
Cyberlindnera,1,1,1,0,0.12,0,0,0,0.25,0.1,0,0,0,0,0.57,0,0,0,0
Curvularia,1,1,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptococcus,1,1,1,0.15,0.61,0.32,0.3,0.38,0.4,0.073,0,0.48,0,0,0.14,0.077,0.21,0,0
Cordyceps,1,1,1,0.027,0,0.017,0,0,0.017,0.02,0,0,0.55,0,0,0,0.037,0,0
Coniochaeta,1,1,1,0,0,0,0,0,0.21,0.13,0.14,0,0,0,0,0,0,0,0
Colletotrichum,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0
Claviceps,1,1,1,0.72,0.26,0.31,0,0.11,0.21,0.093,0,0.12,0.22,0.37,0.28,0.043,0.16,0.13,0.26
Cercospora,1,1,1,0,0.067,0.18,0,0,0.057,0.13,0,0,0,0,0,0.38,0,0,0
Cadophora,1,1,1,0,0,0,0,0.02,0.43,0,0,0,0,0,0,0,0,0,0
Byssochlamys,1,1,1,0,0,0.03,0,0,0,0.093,0.41,0,0,0,0,0,0,0,0
Blastobotrys,1,1,1,0,0,0.17,0,0,0.017,0.54,0,0,0,0,0,0,0,0,0
Bipolaris,1,1,1,0,0.14,0.16,0,0,0.1,0,0.35,0,0,0,0,0,0,0,0
Aureobasidium,1,1,1,0.41,0.9,0.32,0.4,0.81,0.39,0.18,0.067,0.2,0,0.04,0.37,0.53,0.07,1.07,0
Articulospora,1,1,1,0,0.017,0,0,0.017,0,0,0.02,0,0,0,0,0,0,0,0
Acremonium,1,1,1,0.077,0.12,0.2,0,0.15,0.057,0.35,0,0.14,0.3,0,0,0,0,0.22,0
Mycoacia,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluyveromyces,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exserohilum,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cystofilobasidium,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprinopsis,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
